PROJECT,CLASS,COMPLEXITY
spring-roo,WebScaffoldMetadataProviderImpl,21
spring-roo,EmbeddedServerProvider,12
spring-roo,ControllerType,2
spring-roo,AbstractLanguage,15
spring-roo,I18nComponent,5
spring-roo,I18nConverter,6
spring-roo,EnglishLanguage,4
spring-roo,SpanishLanguage,4
spring-roo,I18nCommands,18
spring-roo,I18nOperationsImpl,56
spring-roo,ThymeleafMVCViewResponseService,65
spring-roo,ThymeleafMainControllerMetadata,8
spring-roo,ThymeleafMainControllerMetadataProviderImpl,23
spring-roo,ThymeleafMetadata,28
spring-roo,ThymeleafMetadataProviderImpl,180
spring-roo,ThymeleafViewGenerator,32
spring-roo,WebMvcThymeleafUIConfigurationMetadata,11
spring-roo,WebMvcThymeleafUIConfigurationMetadataProviderImpl,21
spring-roo,FieldItem,21
spring-roo,MenuEntry,10
spring-roo,AbstractViewGenerationService,106
spring-roo,AbstractViewGeneratorMetadataProvider,44
spring-roo,ViewCommands,34
spring-roo,ViewContext,20
spring-roo,ViewOperationsImpl,8
spring-roo,AbstractFreeMarkerViewGenerationService,13
spring-roo,ApplicationConfigServiceImpl,34
spring-roo,ApplicationConfigServiceImplTest,2
spring-roo,AutoProcessor,63
spring-roo,Main,49
spring-roo,CustomDataKeys,1
spring-roo,AnnotatedTypeMatcher,5
spring-roo,ConstructorMatcher,7
spring-roo,CustomDataKeyDecoratorImpl,20
spring-roo,CustomDataKeyDecoratorTracker,3
spring-roo,FieldMatcher,11
spring-roo,MethodMatcher,30
spring-roo,MidTypeMatcher,6
spring-roo,InvocableMemberMetadataCustomDataKey,6
spring-roo,FieldMetadataCustomDataKey,9
spring-roo,ConstructorMetadataCustomDataKey,4
spring-roo,MemberHoldingTypeDetailsCustomDataKey,4
spring-roo,IdentifiableJavaStructureCustomDataKey,4
spring-roo,IdentifiableAnnotatedJavaStructureCustomDataKey,4
spring-roo,MethodMetadataCustomDataKey,3
spring-roo,ArrayAttributeValue,3
spring-roo,ClassAttributeValue,3
spring-roo,DoubleAttributeValue,4
spring-roo,NestedAnnotationAttributeValue,3
spring-roo,AbstractAnnotationAttributeValue,15
spring-roo,AnnotationMetadataBuilder,32
spring-roo,EnumAttributeValue,4
spring-roo,AnnotatedJavaType,14
spring-roo,BooleanAttributeValue,3
spring-roo,CharAttributeValue,3
spring-roo,LongAttributeValue,3
spring-roo,DefaultAnnotationMetadata,9
spring-roo,StringAttributeValue,3
spring-roo,AnnotatedJavaTypeTest,2
spring-roo,AnnotationMetadataBuilderTest,2
spring-roo,BooleanAttributeValueTest,2
spring-roo,CharAttributeValueTest,1
spring-roo,IntegerAttributeValue,3
spring-roo,IntegerAttributeValueTest,1
spring-roo,LongAttributeValueTest,1
spring-roo,AbstractAnnotationValues,9
spring-roo,AutoPopulationUtils,41
spring-roo,AnnotationValuesTestCase,5
spring-roo,CommentFormatter,11
spring-roo,BlockComment,2
spring-roo,CommentStructure,12
spring-roo,JavadocComment,2
spring-roo,LineComment,2
spring-roo,AbstractComment,4
spring-roo,AnnotationMetadataUtils,30
spring-roo,BeanInfoUtils,20
spring-roo,DeclaredFieldAnnotationDetails,6
spring-roo,DeclaredMethodAnnotationDetails,3
spring-roo,DefaultInitializerMetadata,4
spring-roo,DefaultPhysicalTypeDetails,4
spring-roo,InitializerMetadataBuilder,11
spring-roo,MemberFindingUtils,50
spring-roo,AbstractMemberHoldingTypeDetails,32
spring-roo,FieldDetails,33
spring-roo,DefaultConstructorMetadata,2
spring-roo,ItdTypeDetailsBuilder,25
spring-roo,ClassOrInterfaceTypeDetailsBuilder,40
spring-roo,AbstractIdentifiableAnnotatedJavaStructureBuilder,30
spring-roo,AbstractIdentifiableAnnotatedJavaStructureProvider,8
spring-roo,DefaultMethodMetadata,8
spring-roo,ImportMetadataBuilder,15
spring-roo,AbstractMemberHoldingTypeDetailsBuilderTest,7
spring-roo,AbstractInvocableMemberMetadataBuilder,22
spring-roo,DefaultItdTypeDetails,28
spring-roo,DefaultPhysicalTypeMetadata,8
spring-roo,MethodMetadataBuilder,12
spring-roo,DefaultImportMetadata,8
spring-roo,DefaultClassOrInterfaceTypeDetails,34
spring-roo,DefaultFieldMetadata,7
spring-roo,AbstractMemberHoldingTypeDetailsBuilder,67
spring-roo,FieldMetadataBuilder,17
spring-roo,ConstructorMetadataBuilder,4
spring-roo,AbstractIdentifiableJavaStructureBuilder,6
spring-roo,AbstractIdentifiableJavaStructureProvider,3
spring-roo,AbstractInvocableMemberMetadata,9
spring-roo,AbstractMemberHoldingTypeDetailsBuilderTest,7
spring-roo,DefaultItdTypeDetailsTest,1
spring-roo,DefaultPhysicalTypeMetadataTest,3
spring-roo,ImportMetadataBuilderTest,1
spring-roo,ItdTypeDetailsTestCase,1
spring-roo,AbstractItdMetadataProvider,72
spring-roo,AbstractMemberDiscoveringItdMetadataProvider,6
spring-roo,ItdFileDeletionService,9
spring-roo,ItdTriggerBasedMetadataProviderTracker,4
spring-roo,AbstractItdTypeDetailsProvidingMetadataItem,44
spring-roo,ItdSourceFileComposer,94
spring-roo,InvocableMemberBodyBuilder,18
spring-roo,FieldResource,11
spring-roo,CoreLayerProvider,1
spring-roo,LayerAdapter,5
spring-roo,LayerServiceImpl,9
spring-roo,LayerServiceImpl,9
spring-roo,LayerType,2
spring-roo,LayerTypeMatcher,7
spring-roo,Priority,2
spring-roo,MethodParameter,10
spring-roo,MemberTypeAdditions,18
spring-roo,MemberTypeAdditionsTest,5
spring-roo,BooleanField,8
spring-roo,DateField,23
spring-roo,EmbeddedField,2
spring-roo,EnumField,6
spring-roo,ListField,2
spring-roo,NumericField,16
spring-roo,StringField,14
