ARQUIVO,FALHA
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[41](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[41](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.051 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[42](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[42](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[43](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.032 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[43](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.031 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[44](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[44](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.038 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[45](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.058 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[45](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.056 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"commonsLoggingIsNotATransitiveDependency[46](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.047 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[46](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.064 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"nonJavaExecRunTaskIsIgnored(org.springframework.boot.gradle.MainClassTests)  Time elapsed: 0.125 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[0](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.045 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[0](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.049 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[1](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.044 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"oldSpringModulesAreNotTransitiveDependencies[1](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.041 sec  <<< FAILURE!
"
/home/guilherme/dennis/logs/maven-spring-boot-spring-boot-integration-tests-spring-boot-gradle-tests-.txt,"commonsLoggingIsNotATransitiveDependency[2](org.springframework.boot.starter.StarterDependenciesIntegrationTests)  Time elapsed: 0.042 sec  <<< FAILURE!
"
